title,year,rating,description,genres
The Egos: Summer of Drake,2018,10.0,"The summer of 2018 was legendary - Drake was dominating the charts, MoviePass had us living at the theater, and the World Cup kept the globe glued to the screen. But nothing was better than Jurassic Bark.",
The Egos: Cinematic Universe,2018,10.0,"The Egos assemble in an Avengers-style parody where a mysterious stone can make all men disappear. Chaos ensues as they navigate the consequences, leading to the group facing censorship and being censored for their past actions.",
(No) Feliz Cumpleaños,2024,10.0,"Diego, a young man turning 18, faces loneliness when his mother leaves him for a date and his friends cancel plans to celebrate his birthday. Caught between indifference and disappointment, Diego tries to find meaning in a night that should be special.",
Arts and Culture,2024,10.0,Sloppy man Geir starts working at an art museum where he meets stuck up wannabe artist Hörður. Things get weird when they bring a sofa to the space without permission.,
Entre Nós,2024,10.0,,
The Muppets: Stars & Stripes FOREVER!,2008,10.0,,
The Destroyer of Pluto Conquers the Universe,2025,10.0,"He saw his planet invaded and destroyed by Pluto's forces, so he had the chance to take revenge. But now, after years of exploring the galaxy, he has the chance to find a new home. But he is no longer the same.",
ARGILEUX,2024,10.0,,
A Cheesy Christmas,2024,10.0,"A recovered VHS tape that still holds the home video recording of A Cheesy Christmas, a romantic comedy that first premiered in 1994 on channel RDZ! Still has the ads, but what a nostalgic time.  A family friendly stand alone film that can work as a companion piece to the horror, Curtains for Christmas.",
"""L'Affaire Anna Lisbonne""",2021,10.0,,
The Egos: Sequel,2017,10.0,"Will and the rest of The Egos are back at it, ready to create a sequel. This time, they're battling a city-wide avocado shortage, all while trying to shake off the catchy tune of ""Despacito"" that's stuck in their heads.",
Pemburu Hibah,2023,10.0,,
Stavolta Tocca a Me,2016,10.0,,
Tra le sette e le otto,2022,10.0,,
Monster Mosh,2022,10.0,"When loud music interrupts the mourning of his dog, a young boy goes to chastise the monsters responsible.",
IFPE Em Foco,2023,10.0,,
Memórias Póstumas de Brás Cubas - O Curta Metragem,2024,10.0,,
Julienne of Light Bulbs,2024,10.0,"In a magicians’ private stand-off, two practitioners must brave tricky challenges to demonstrate a hidden ability. They conjure animal illusions, consume light bulbs, and face the choice between antagonism and friendship.",
The Faceless,2024,10.0,"The Father is dead, and chaos has taken his place. Blood will pour in the battle for the territories he held.",
At Sea,2024,10.0,"AT SEA is a visceral and poetic short film that blends docu-style realism with narrative fiction, following a group of faceless sailors navigating the unpredictable seas of Greece. Through the fragmented memories of an unreliable narrator, the film weaves together a non-linear story that shifts in mood with each chapter, offering a fresh perspective on the sea. Based on true events… almost.",
Lesbian Jesus Is Pregnant with Vibes,2024,10.0,"Liza, a berserk 19-year-old TikToker is plucked off the internet, thrust onstage, and declared ""Lesbian Jesus!"". She travels the country by bus with her underqualified Momager and loving girlfriend Avery. In a rollercoaster of an interview with the New York Times, we learn that Liza has been assaulted by the producer who discovered her. While she wants to out him, he contractually owns her (and her music). And if the article is published, Liza and her mom will lose everything and get sued for defamation. They navigate this reality in real time (the 7 minutes before their bus leaves for Hartford).",
The Muppets: Classical Chicken,2008,10.0,,
BFFs,2025,10.0,Two best friends play practical jokes on each other until things get out of hand.,
Apophenia: Volume 1,2023,10.0,"A collection of 9 short stories that take place around Khon Kaen Province, with both real and unreal events mixed in. Your mind will be swept away by the wonder of the people of Khon Kaen, or will you be left feeling lost and unresponsive!",
Lucky Coin!,2022,10.0,"About a college student who believes he's constantly failing a course because of ""bad luck"" and tries to break ""bad luck"" by an extraordinary way to pass the course.",
Concessions,2025,10.0,"As the Royal Alamo Cinema closes its doors for good, jaded staff, eccentric patrons, and an unhinged manager stumble through one last night at the movies —grappling with busted dreams, bad popcorn, and hard goodbyes.",
Wisconsin Johnson and the Lucky Bone,2024,10.0,A young adventurer must find a magic wishbone before it falls into the wrong hands.,
The Human Supremacist,2025,10.0,"To fight plant and animal cruelty, a vegan joins a cult and must harness photosynthesis before starving to death.",
Fist of the Punching Fist!,2023,10.0,"In an effort to avoid the IRS, a man pulls up to an abandoned house in the middle of nowhere. To his surprise, a homeless man confronts him and the two engage in the greatest fight of the century!",
Park Birds,2020,10.0,A park-goer just trying to read their book is constantly interrupted by the advances of an unwanted stranger.,
We Have Evil Dead at Home,2022,10.0,A group of friends spend spring break at a beach Airbnb. They uncover the Weezer CD of the dead unleashing untold horrors onto themselves as demons posses and pick them off one by one.,
Sundays are for Winners,,10.0,"Sunday serenity is brutally interrupted when a father at his wits end is unable to procure the golf event he so desperately wishes to watch, as the cable ceases to work and he must persevere against the elements of his house that turn against him on his quest to achieve life's ultimate goal: Watching golf in peace on a Sunday.",
How To Say Goodbye,2024,10.0,"At a theatre school, the Advanced students begin to navigate their futures beyond the classes they’ve grown up in. As tensions rise and relationships fracture, the younger students have to step in to organise the perfect goodbye.",
Thish,2024,10.0,When the angry fish wants to kill a jerk worm.,
The Money Shot,2005,10.0,"Stan and Eddie are two simple guys. They live simple lives, work simple jobs, and make simple movies. That is, until the day they dream of creating the impossible and bringing to life the greatest of all cinematic myths: the porno with a plot. With new-found hope, the two armed with only a camera and their determination enlist the help of friends and strangers alike as they embark on an insane race against time to complete their cinematic masterpiece and earn their place in the books of celluloid glory. Will Stan and Eddie persevere and create the unimaginable and take top honors at the Harbor Film Festival? Or will they crash and burn?",
Amebairro June Celebration,2024,10.0,A short comedy documentary showing a party of university students in south brazil.,
Mono-Visual Fly-Posting Anti-Climax,2024,10.0,A man is putting missing posters up of himself... why?,
Kianoush's Garden,2024,10.0,Hamzeh and Abbas decide to invade Kianoush’s son’s garden on his wedding day. This incident coincides with the crash of an Iraqi bomber plane near Bagh. The crash of the plane and the arrival of its pilot to Bagh Kianoush create adventures.,
Wonderwall Guy,2024,10.0,"Wonderwall Guy brings his guitar to a party to impress girls and just won’t leave. A group of the fed up partygoers band together to try and get him out of there, but something unexpected happens…",
Harry Springer,2007,10.0,"A parody regarding the rivalry between Darius and Alexander the Great. Our host, Harry Springer, interviews both of our guests as we discuss marriage, betrayal, warfare, and much more.",
